brand,model,text,source
mg,mg3,"Is the MG3 a good car? The MG3 used to be a bit of a joke - the old one was the lowest-ranked car on Carwow - but the new model aims to change all that. Now, instead of being antiquated, it’s right up there with the best small cars for performance, efficiency and equipment. Like an air fryer from the middle of Lidl, the MG3’s feature set is as good as any of its alternatives and it’s not immediately clear where the money’s been saved to bring it in at such a low price. Now that it’s a full self-charging hybrid car, the MG3 no longer targets the very cheapest on the market like the Dacia Sandero or Citroen C3 Origin. Instead, it’s more like a cut-price alternative to the Renault Clio E-Tech or Toyota Yaris - a halfway house for people who want the most efficient small car possible, but either don’t want or can’t have a fully electric model. The MG3 won’t win awards for its practicality - it’s not cramped, but it’s no better than average in this regard with a boot that’s about halfway between the Yaris and the Clio in capacity. Rear seat space is moderate, too, though annoyingly the rear seats don’t split when they fold which does limit overall versatility. The front of the cabin looks great, and very modern - in stark contrast to the car it replaces. Poke around and you can find a few places where MG’s saved money - there’s a sliding cover for one of the storage compartments that feels comically flimsy, and the top of the dash and the door cards are made of hard plastic - but the Clio and the Yaris have areas that feel equally cheap. The new MG3 is a transformation from the old model, and instantly becomes one of the best small cars you can buy Mat Watson Expert Car Reviewer More importantly, MG’s given the 3 its best touchscreen infotainment system yet, and it’s loaded with equipment - climate control, a digital dashboard, sat-nav and a full suite of assisted driving features are standard on every model. The MG’s hybrid system is brand-new, and puts out an impressive 191hp - versus 140hp for the Clio and up to 130hp for the Yaris. That means it’s easily got any of them beat in a drag race, and makes mincemeat of overtakes or motorway sliproads. It’s not quite as efficient as the alternatives, but you might decide that the additional performance makes the small drop in mpg worthwhile. The real surprise is what happens when you reach a twisty road. The old MG3 was always shockingly good fun in the corners, but unexpectedly MG has managed to repeat the trick. The new MG3 handles brilliantly for a small car, and that makes it one of the most enjoyable small cars to drive. Sound interesting? Check here for our best MG3 deals, or look for a used MG3 on Carwow here. You could also check out other used MGs here, and remember that Carwow can even help you sell your car online too.",Carwow
mg,zs,"Is the MG ZS a good car? The previous-generation MG ZS was a small SUV that you’d buy because it was cheap - and then spend the rest of your time apologising for it. It was unattractive, thirsty, poor to drive and had a really cheap-feeling interior. However, the second-generation model has had a true Cinderella-style glow-up, and should push the old car right to the back of everybody’s minds - it’s a huge improvement in every way. Based on the same mechanical underpinnings as the excellent MG3 hatchback, the new ZS gets an up-to-date hybrid engine, techy interior and a smart - if not stunning - new look. It’s like trading in your old Nokia for a new smartphone. Probably not the latest Apple iPhone, as MG is still firmly a budget brand - more like one of those off-brand Android phones that gives you lots and lots of bang for your buck. As a small hybrid SUV, there are alternatives to the MG ZS coming from every corner. Some of the best include the Renault Captur, the Hyundai Kona Hybrid, the Peugeot 2008 or the Carwow award-winning Toyota Yaris Cross. MG does things a bit differently to those cars, though. First of all, there’s the way the hybrid system works. It’s far more powerful than any of those alternatives - with 191hp beating out 140hp in the Captur or a measly 115hp in the Yaris Cross. MG’s done this by fitting a more powerful electric motor and a bigger battery, which means that most of the time it drives like an electric car with a petrol generator. However, if you put your foot down both power sources will give their all, making this quite a rapid little SUV. The ZS undercuts almost every alternative on price while offering loads of space and a powerful engine - but you may want to pay a little extra for a more polished ownership experience Mat Watson Expert Car Reviewer The comparison is also pretty favourable when it comes to interior space. The ZS has enough room for a six-foot adult to sit behind a driver of the same size in comfort, which means it’s also great for child seats or lanky teenagers. The 443-litre boot is also bigger than the hybrid Renault Captur or the Toyota Yaris Cross, and only marginally smaller than the Hyundai Kona hybrid. It’s in the cabin where you notice evidence of MG’s cost-cutting, though - there are plenty of low-rent material choices, and infotainment software that despite being a huge improvement on the old ZS isn’t as easy to use or as intuitive as the best systems out there. You do get loads of equipment, though. The top-spec Trophy model is still inexpensive but comes with climate control, sat-nav, smartphone connectivity, leather upholstery and a full suite of driver assistance tech including the semi-autonomous MG Pilot system. To drive, it’s another huge leap from the old car, which was pretty dire on the road. The ZS isn’t as satisfying to drive as a Renault Captur or Toyota Yaris Cross, despite its superior power output - but it has light controls and good visibility, making it great around town. Only poor refinement on the motorway and quite crashy suspension let the side down. If lots of power and equipment for a low price capture your imagination, check out our best MG ZS deals right here. You can find a used MG ZS for sale here, or search other used MGs for sale. And remember that Carwow can even help you sell your old car when the time comes.",Carwow
mg,zs-ev,"Is the MG ZS EV a good car? The MG ZS EV is an electric SUV that goes up against the likes of the Hyundai Kona Electric and Kia Niro EV – both of which are now well-established options at the affordable end of the electric car market. It’s a bit like going for a pair of cheap Bluetooth headphones. It might not be from the obvious choice of brands, but it promises to do a similar job at a lower cost. Since its revival as a mass-production manufacturer, MG’s models haven’t been the most exciting to look at. The new ZS EV is in a similar vein, but this updated version now comes with a blanked-out grille and LED headlights as part of a tweaked front end. There is also a new rear bumper with altered lights. MG has also improved the interior design, with the main addition being a new 10.1-inch infotainment touchscreen that has updated software to make it much smoother than before. A 7.0-inch driver display has also been added that offers efficiency and safety information. But where alternatives may offer slightly more comfort and refinement, you’ll find a lot of scratchy plastics alongside the new carbon fibre-effect upholstery finish on the dashboard and leather trim on the seats. In the back, you have decent legroom behind even the tallest of drivers. But as the batteries are mounted under the floor, your knees end up quite high. Headroom is also not the best, with the panoramic sunroof on Trophy models eating into the space even more. Taller passengers may struggle to get comfortable in the back. With an adjustable boot floor as standard, you get 470 litres. This is on par with the Kia Niro EV's 475 litres, but is 140 litres more than the Hyundai Kona Electric's offering. Folding the seats down creates a 1,100-litre space, but the seats don’t quite fold flat. Although refinement and overall quality aren’t the best, the ZS EV is more than capable of being a practical option Mat Watson Expert Car Reviewer The ZS EV comes with two battery options. The 51kWh Standard Range and 72kWh Long Range options offer up to 198 and 273 miles respectively. When driving in the real world across multiple conditions and in all three driving modes – Eco, Normal and Sport – you get closer to 240 miles. But leave it in Normal mode and you’ll get nearer to the claimed figure. Around town, the steering feels light and accurate. It also doesn’t allow many bumps into the cabin at slow speeds, with the suspension setup in normal mode helping it out. On the motorway, you’ll notice a lot of tyre noise and, if you go for the top-spec Trophy version, the roof rails do make a slight whistling noise. It feels comfortable on the whole, but the seats don’t have as much cushioning or support as you might like. When applying Sport mode and tackling a country road, the ZS feels pretty stable. It isn’t the most engaging car in the world and it can scrabble for grip in damper conditions – but for most that won’t be much of an issue. With its competitive pricing and practicality, the ZS EV is a model you should consider. It may not be as refined as alternatives, but it can certainly be a useful option if you’re in the market for an efficient SUV. If you want to see what you could save on a new MG ZS EV, check out the deals page. You can also find the best deals on used MG cars as well as find out how much your car is worth by using our sell my car service - you can change your car entirely through carwow.",Carwow
mg,hs,"Is the MG HS a good car? The MG HS has at points been the best-selling car in the UK and it’s easy to see why. It’s a big, practical family SUV with a posh-looking interior, loads of standard equipment and a headline-grabbing plug-in hybrid engine option - but it costs about as much as most small hatchbacks. While the old HS was definitely in the ‘cheap but not very cheerful’ category, the new model actually feels like something you wouldn’t mind driving around - it has redeeming features other than its price tag. It’s a bit like a Harvester - nobody’s ever going to look at it as a high-end option, but if you’re looking to feed the whole family on a budget, it’s tasty enough that you don’t feel punished for your penny-pinching. The HS is a similar size to family SUVs such as the Ford Kuga, Kia Sportage and Nissan Qashqai - but with its low price tag, you might consider it on the same shortlist as much smaller SUVs such as the Volkswagen T-Cross or Ford Puma. Two more direct alternatives are the Citroen C5 Aircross or BYD Seal U - both big SUVs that put affordability first, and have plug-in hybrid engines available. If your main concern is space for the money, the MG HS is a great option. Despite a price tag close to something like a Volkswagen Polo hatchback, it has space in the back for a six-foot adult to stretch out, plus a 507-litre boot that’ll accommodate the whole family’s kit and clobber. Still remarkably cheap but now much more capable - the MG HS is now a car I could recommend for more than just its price tag Mat Watson Expert Car Reviewer You also get a dashboard that looks pretty posh, with a dual-screen setup just like you get on a BMW X3. You don’t have to press very far to find out where MG’s saved money, though, and materials and build quality aren’t really up to the standards of more expensive cars. It’s also not the easiest to use, with very few physical switches, an awkward touchscreen interface and not much storage for smaller items. As far as engines go, there’s a choice of two. You can have a bog-standard petrol, available with manual or automatic gearboxes - these are the more affordable options, and though they’re not particularly offensive to drive they are a bit thirsty. The headline-grabber is the HS plug-in hybrid, which can do up to 75 miles on a charge. That figure is up there with the best PHEVs on sale, and it gives you tons of flexibility - it’s enough to do even the longest of commutes without troubling the petrol engine once. It also nudges the HS into the lowest-but-one band for Benefit-in-Kind tax, making it hundreds of pounds a month cheaper than the equivalent Kia Sportage or Ford Kuga for company car drivers. Both of those cars are better to drive, mind you - they steer more sweetly and handle bumps better, as well as being more responsive and reassuring in the corners. The gap is narrower if you’re just cruising round town or on the motorway, though, where the HS is impressively refined and difficult to dislike. If the new MG HS seems like the SUV for you, check out our best MG HS deals on Carwow. You can see our other MG deals here, or search for a used MG for sale here. And remember, Carwow can even help you sell your old car.",Carwow
mg,mg-4,"Is the MG4 EV a good car? MG pulled an absolute blinder with the MG4, and much like the lovable underdog in a boxing movie it punches well above its weight division. It’s more affordable than alternatives such as the Renault Megane E-Tech and Cupra Born, costing around the same as the smaller Vauxhall Corsa Electric and Fiat 500e. You’d be forgiven for thinking that MG have taken a ‘cheap and cheerful’ approach to engineering the MG4, but that’s far from the truth. So far from it, in fact, that the MG4 received high commendations in the 2024 Carwow Car of the Year Awards’ Outstanding EV and Urban Living categories. Just look at it, a mix of pointy details, sharp creases and funky shapes such as the lower body cladding and split roof spoiler. It’s a refreshing looking thing; it still stands out against newer MGs such as the MG S5 and MG HS as much as it does its alternatives. MG4 EV: electric range, battery and charging data Range: 218-331 milesEfficiency: 3.6-3.8 miles per kWhBattery size: 51kWh / 62kWh / 74kWhMax charge speed: 150kWCharge time AC: 6hrs 12mins, 10-100%, 7kW / 7hrs 30mins, 10-100%, 7kW / 9hrs, 10-100%, 7kWCharge time DC: 39mins, 10-80%, 150kW / 35mins, 10-80%, 150kWCharge port location: Left rearPower outputs: 170hp / 204hp / 245hp It’s a shame the interior isn’t quite as novel, with a dashboard layout that’s so simple it verges on boring, but the material quality, fit and finish and standard kit is better than you might expect for the price. A 10.25-inch infotainment display comes as standard on all trim levels of the MG4, and though it comes with Apple CarPlay and Android Auto connectivity, MG’s own software is rather basic. It’s frustrating to operate too, especially on the move, with too many menus to navigate. There’s plenty of room in the MG4 though; plenty of adjustability for you to get comfy behind the wheel and enough head and leg room for tall passengers in the rear - though it’s a bit of a squeeze when you’ve got three in the back. The 363-litre boot capacity trails the Volkswagen ID3 for space, and puts it well behind the Megane E-Tech. The MG4 comes with two battery options, offering 218 claimed miles of range in its most basic trim through to 323 miles for the Trophy Extended Range model. The top-rung MG4 XPower, which we’ve reviewed separately, offers a big power hike over the rest of the trim levels, but makes do with a 239-mile range. MG has fully injected its own personality into the MG4 EV, and it leaves you wanting to get to know it a lot more… Mat Watson Expert Car Reviewer Around town the MG4 is easy to potter about in thanks to its light steering, peppy electric motors and most importantly, its comfortable suspension. It takes potholes, speed bumps and cracked roads in its stride, and the same applies to motorways where the MG4 just soaks up the miles with ease. Yet even with its soft suspension the MG4 is rather fun to drive on a twisty road, feeling agile and grippy with little in the way of body lean. The X-Power is particularly rapid, but it’s different enough that we've reviewed it separately here. For a stonking value for money proposition, have a look at our new MG4 deals as well as our MG4 lease deals. You can also check out used MG4s from our network of trusted dealers as well as other used MGs. When it’s time for a change, you can even sell your current car through Carwow.",Carwow
mg,s5-ev,"Is the MG S5 EV a good car? The MG S5 is the sequel to the MG ZS EV - it’s a compact, all-electric SUV, and like the rest of MG’s range majors on value-for-money - putting it right in the firing line of really excellent electric cars such as the Volvo EX30, Kia EV3 and Skoda Elroq. It’s also the first MG we’ve reviewed that doesn’t really have any caveats - no ‘it’s great for this, but…’ modifiers need to be added. While that does mean it’s not quite as standout as MG’s other cars, like the cheap-as-chips MG 4 or the BIK champion MG HS, it also means that it’s easier to recommend for more people. It’s like a chef who starts their career out with wild and divisive combinations like salmon teacakes with a candyfloss mousse, but matures into making a really solid sea bass with risotto. Like some of the most reliable dishes, the new S5 EV doesn’t exactly shout about its prowess. The styling is the first thing to get past - or the lack of styling, you could say. The S5 EV looks as though MG’s design team started with a normal SUV and then Photoshopped out any of its distinguishing features. While this definitely means it blends into the crowd, you’ll have to be a really magnolia kind of person to be excited by its featureless front end or lower grille ‘inspired’ by the Cyberster sports car. MG S5 EV: electric range, battery and charging data Range: 211 - 298 milesEfficiency: 4.3 - 4.7 mi/kWhBattery size: 49kWh/64kWhMax charge speed: 120kW/139kWCharge time AC: 7hrs / 9hrs 15m @ 7kWCharge time DC: 24min / 28min 10-80%Charge port location: Left rearPower outputs: 170hp / 228hp Things start to look up when you get inside, though. The S5 EV has MG’s best interior to date. Just about everything you touch is covered in soft-touch material, and you really have to look quite hard to find any cheap, nasty plastics - that’s not something you could say about the MG 4, which shares its underpinnings with the S5 EV. Better yet, MG’s listened to feedback from reviewers and journalists, and implemented a few features to make life just that little bit easier. There are physical climate controls underneath the screen so you don’t have to go rootling round in touchscreen menus just to change the temperature, and there’s an easy shortcut to switch off the more annoying driver assistance features too. The MG S5 EV isn't exactly eye-catching, but it offers a really impressive combination of space and equipment for the money Mat Watson Expert Car Reviewer The S5 EV is great for families as well, as it has bags of rear legroom and a 453-litre boot - nearly matching the roomy Kia EV3. There are two models available - a Standard Range car that can do up to 211 miles on a charge and a Long Range variant which claims up to 298 miles of range. It’s a shame MG has no plans to introduce an Extended Range model, as that could really take the fight to the Kia EV3 which has up to 375 miles of range. So behind the dull looks, the MG S5 EV is really quite a good electric car indeed. If you’re interested, you could check out our best MG S5 EV deals here, or find a great MG S5 leasing offer. You can browse used MGs for sale here, and remember that Carwow can even help you to sell your old car when the time comes.",Carwow
mg,4-xpower,"Is the MG4 XPower a good car? This is the MG4 XPower, and it’s a bit like a supermarket's own-brand vindaloo – packing plenty of heat at a value price. It’s a car you’d consider if you’ve been waiting for the dawn of the electric hot hatch, but the higher-power variants of the Cupra Born or Volkswagen ID3 just don’t offer enough punch for you. Not that the looks of the XPower would suggest it’s the exciting version – not a great deal of change has been made over the base MG4. Orange brake callipers and new 18-inch wheels give the game away if you know what you’re looking for, as do a few polished trim pieces, but the bodywork is otherwise untouched. The stealthy vibe may appeal, but there’s a case to be made that MG could and should have done more to shout about the car’s performance. Similarly, there’s very little difference inside compared with the standard MG4. Aside from some Alcantara seat and door inserts, as well as a touch of red stitching, there’s nothing to scream XPower here. Material quality continues to impress for the price, but a dull selection of colours and a basic design does nothing to add to the excitement the car’s power promises. Drag race: Lamborghini Gallardo v MG4 XPower v Nissan GT-R Also retained for the XPower is the 10.25-inch infotainment system, packed with sat nav along with support for Android Auto and Apple CarPlay. A few welcome quality-of-life improvements have been made to the software, as well as a basic ‘Track Mode’ app that gives you real-time access to G-force and acceleration data. As with the base MG4, rear passenger space is impressive, with a decent amount of head and legroom even for taller adults. Boot space is also untouched at 363 litres, which is marginally behind the Volkswagen ID3’s 385 litres. The big changes for the MG4 XPower lie under the skin. As well as more power for the rear motor, a second motor has been added to the front axle too, combining to produce 435hp and 600Nm of torque. The result is 0-60mph in a mind-boggling 3.8 seconds (for context, that’s quicker than a Porsche 911 Carrera 4) and an increased top speed of 124mph. It’s not just the off-the-line performance that’s so impressive either, with a real gut-punching kick from 30-70mph too. To help cope with that extra power, MG has made some mechanical tweaks as well. An electronic locking differential has been added alongside a torque vectoring system, which combine to manage how power is distributed to the wheels through corners. The suspension is the same as the base MG4, though with new tuning for the springs and dampers. MG has made the 'Volkswagen ID3 R' that never was. This is a hauntingly fast EV, but it’s not one to excite you outside of a straight-line sprint Mat Watson Expert Car Reviewer Though the result is a car that’s certainly capable when you throw it through the bends, it’s not particularly involving. Dull steering makes it difficult to feel how much grip the front wheels have, and even the mechanical upgrades can’t hide the fact this is quite a heavy car. You may outrun a Honda Civic Type R or Hyundai i30 N, but you won’t have as much fun in the twisty stuff. On top of that, because of the suspension tweaks, the MG4 XPower crashes over bumps in the road more so than the regular car, though otherwise remains pretty comfortable around town. At motorway speeds though, you do really notice the wind noise as well as a slight whine from the new front motor. Official range figures from the 64kWh battery dip from 270 miles in the Long Range car to 239 miles for this sporty XPower model. A mixed driving route with the car for this test returned 2.9 miles/kWh, equating to around 185 miles of real-world range. For stomach-churning, sports-car troubling performance at a value price, the MG4 XPower delivers big. That said, traditional hot hatch buyers may struggle to be won over by quite a muted driving experience beyond the numbers. Looking to make this electric hot hatch your next car? Check out the latest MG4 XPower deals available through Carwow, or browse used MG4 models from our network of trusted dealers. If you’re selling your car online, you can do that through Carwow too, along with browsing a wide range of used MGs available now.",Carwow
mg,gs,"Is the MG GS a good car? The MG GS is a medium-sized family SUV that’s a little larger than the likes of the Nissan Qashqai and Renault Kadjar, yet costs a little less. Unfortunately, some of the MG’s penny-pinching is all too obvious, such as the brittle interior plastics and second-rate infotainment system. From the outside, the MG GS looks more like a jacked-up hatchback than most family SUVs. It sports all the black plastic bumper trims you’d expect of a chunky pseudo-off-roader, but the MG GS’ curvy bumpers, slim brake lights and raked roofline look sportier than the comparatively boxy Kia Sportage and Hyundai Tucson. Unfortunately, the MG GS’ interesting exterior only serves to show how dull and drab its interior is. It’s neatly laid out and all the buttons are grouped together so they’re easy to reach, but almost every surface comes with a hard plastic finish and the optional brushed-metal effect trims don’t feel anywhere near as robust as they look. You can have contrasting inserts fitted to the dashboard and doors, but these do little to spruce up the GS’ interior. Equally middling is the touchscreen infotainment system. It’s easy to read but nowhere near as intuitive as the systems you get in most alternatives. What it loses out in technology, the GS claws back (albeit only slightly) in terms of practicality. There’s just as much room in the front seats as you get in the likes of the Nissan Qashqai and there’s more space for carrying three adults at once in the back. The MG GS might appeal if you’re looking for something practical and likely to stand out, but it isn’t particularly good to drive and doesn’t feel as well built as most other family SUVs. Mat Watson Carwow expert It’s a similar story when you need to load the MG GS’ boot. It’s bigger than the Nissan’s and there’s no load lip which makes it easy to slide in heavy boxes. You can fold the back seats down if you need to carry seriously bulky stuff, such as a bike. It’s a shame you can’t get the MG GS with a diesel engine to help you carry very heavy luggage or tow a trailer, though. Instead, it comes with a 1.5-litre 166hp petrol unit. At least it feels fairly spritely and trundles along at motorway speeds relatively quietly – if not particularly economically. Head off the motorway and you’ll find the MG GS doesn’t feel particularly relaxing to drive. Its suspension is firmer than in the likes of the Nissan Qashqai so you’ll feel more of a thud each time you hit a pothole around town. At least you get a decent view out and the optional automatic gearbox you can get in top-spec models means you don’t have to make endless gear changes in heavy traffic. Unlike most SUVs, you can’t get the GS with automatic emergency braking, lane-keeping assistance or driver tiredness detection. As a result, you’ll be better off looking elsewhere if safety is your number one priority. But, if you’re after a sporty-looking yet practical SUV on a shoestring budget, it could be worth a look. Check out our MG GS deals to see how much you can save on one.",Carwow
mg,5,"Is the MG5 EV a good car? This is the MG5 EV, and it’s one of very few electric estate cars currently available in the UK – the others being the Porsche Taycan Sport Turismo, Vauxhall Astra Sports Tourer Electric and Peugeot e-308 SW. It’s a bit like doing your shopping at Lidl or Aldi. On the face of things, you may dismiss the MG5 as simply being a value option - but if you’re clued up, you’ll know there’s much more to it than that. The MG5 was given a design overhaul in 2022 and it was much-needed, though it also came with a small bump in price. The dowdy car of old has been replaced with a stylish new look, sporting sharp lines in the bumpers and wide, narrow headlights. It’s not quite as striking as the Carwow 2023 Car of the Year, the MG4 hatch, though. On the inside, the MG5 isn’t quite as smart either, but it’s a definite improvement over the pre-revision car. Build quality is really good and there’s a respectable amount of plush-feeling materials. Fabric seats come as standard, though range-topping models get a leatherette set. Sitting at the heart of the dashboard is an updated 10.25-inch infotainment system. It’s certainly a leap from the older, sluggish screen and, if you’d rather mirror your smartphone, it comes with Android Auto and Apple CarPlay as standard. It does retain a part-digital, part-analogue driver’s display, though this feels pretty clunky and would work better as a fully digital unit. Updates have made the MG5 EV much more attractive, but it’s a shame a little price rise came too Mat Watson Expert Car Reviewer There’s lots of knee and headroom in the back seats of the MG5, however a raised footwell does leave your rear passengers angled rather awkwardly. As for boot space, you’ve got 580 litres to work with in the MG5. That’s only slightly down on the Toyota Corolla Touring Sports’ 598 litres, so it’s a useful space that will easily carry large suitcases. Choosing the motor and battery is easy, because, well, there is no choice. Whichever MG5 trim you choose you get a battery with a usable capacity of 57kWh and a 156hp motor. That said, driving range is 250 miles in the entry-level SE version or 235 miles in the higher-spec Trophy model, thanks largely to the bigger alloy wheels. The MG5 is comfortable in town and on the motorway, and you get the MG Pilot safety system as standard, which includes assistance kit such as adaptive cruise control and lane-keep assist. If you like the sound of the MG5 EV you can check out the latest new deals now or browse used stock from dealers near you. You can also take a look at other used MG models. Want to sell your car online? Well, Carwow can help with that too.",Carwow
byd,dolphin,"Is the BYD Dolphin a good car? The BYD Dolphin is a mid-sized electric car bringing good levels of equipment and decent practicality, as well as a low starting price – all attributes that make it highly attractive if you're in the market for an EV and you don't want an SUV. Chinese brand BYD launched in the UK with the Atto 3 SUV, and its second model, also all-electric, is the Dolphin. Think of it as a pocket telescope - not impressive in size, but its compact dimensions belie its abilities to show users more than they bargained for. For example, the entry car’s price undercuts potential alternatives such as the MG 4, and significantly undercuts the likes of the Cupra Born, VW ID3 and Smart #1, as well as the smaller Renault Zoe and Peugeot e-208. But equipment levels impress, with kit including electrically adjustable vegan leather seats, a 360-degree surround camera and 12.8-inch rotatable screen all standard on even the entry car. But only the cars over £30,000 get the longer-range battery. And yep, rotatable. At the touch of a button, as long as you’re not using the landscape-only Apple CarPlay/Android Auto, the big infotainment screen will switch from landscape to portrait or back again. Most people will pick a layout and stick with it, but a neat party trick nonetheless. BYD Dolphin: electric range, battery and charging data Range: 196-265 milesEfficiency: 3.9-4.1mi/kWhBattery size: 45kWh / 60kWhMax charge speed: 150kWCharge time AC: 5hrs, 0-100%, 11kW / 6hrs 12mins, 0-100%, 11kWCharge time DC: 40mins, 10-80%, 150kWCharge port location: Right side frontPower outputs: 95hp / 177hp / 204hp The Dolphin comes in four different trim levels, only two of which offer the same battery, power, range and charging stats. At the bottom is the Active which has 95hp and a 211-mile range, while the top-spec Design has 204hp and 265 miles of range. We’ll go into more detail on the different options later on, and the two lower-price cars aren't available until a couple of months after launch. Once past the slightly odd name, the Dolphin has a subtly inoffensive style to it; nothing likely to court car park controversy, but it’s neat enough. On the inside, there is plenty to catch the eye, from the rounded set of switches below the screen that also house the gear selector, to the sweeping air vent surrounds that form part of a dynamic line across the dashboard. Rear seat space is surprisingly good for a car that doesn’t have a big footprint, with taller adults easily able to get comfortable one behind the other. That’s helped by the flat floor – a result of clever battery packaging – and the fact that you can get your feet just about under the front seats. Three rear passengers will be a squeeze though, which isn’t a big surprise in a fairly compact hatchback. Be aware that the bigger battery is only available with the more expensive Dolphin models - the more affordable ones are comparatively down on range Mat Watson Expert Car Reviewer Boot space is reasonable, and there’s a handy removable rubber mat to keep wet dogs or muddy boots off the carpeted moveable boot floor. It’s a deep space when set in the lower position, and offers a little more room that a Smart #1, Renault Zoe or MG 4, although not quite as much as a Volkswagen ID3 or Cupra Born. To drive, the most powerful of the three power options is a little too powerful for the tyres, especially in the wet where they have a tendency to easily spin the wheels. BYD has acknowledged they’re not perfect, and will be changing the tyres it fits to the Dolphin for cars built from November 2023. Otherwise it’s a pleasant and relaxed experience, although the car doesn’t always smooth itself over urban bumps. But it’s grown-up enough to settle in fine on longer runs, and the light steering is welcome for low-speed manoeuvring, although at higher speeds the standard setting is too light for engaging or spirited driving. It can be altered in the menus though, which helps. Much like the Fiat 500e, the Dolphin’s smaller battery should be ignored by anyone venturing far from home. The lower range is fine for urban jaunts, but the extra capacity of the bigger battery provides significant peace of mind. The Dolphin looks neat and tidy without breaking any new ground styling-wise, and is a well-rounded, well-equipped and practical car that opens up the electric hatchback choices even further. See how much a BYD Dolphin costs to buy through Carwow, or check out the full range of BYD models. If you’ve got a vehicle you need to sell to help fund your new purchase, you can also sell your car online through Carwow.",Carwow
