Brand,Model,Source,Drive,Quality of interior,Infotainment system,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
BMW,1-series,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Negative,Medium,high,Positive
BMW,2-series-active-tourer,CarWow && Whatcar,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Not mentioned,Neutral,Neutral,Neutral,Neutral,Low,Positive
BMW,3-series,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
BMW,4-series,Carwow && Whatcar,Positive,Positive,Negative,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Negative,high,Positive
BMW,5-Series,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
BMW,5-series-tourer,whatcar && whatcar,Negative,Negative,Positive,Positive,Neutral,Not mentioned,Neutral,Positive,Positive,Negative,Negative,Negative,Not mentioned,Negative
BMW,5-series touring,Carwow && Whatcar,Negative,Positive,Negative,Neutral,Negative,Negative,Neutral,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Low,Negative
BMW,i4,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
BMW,i5,Carwow && Whatcar,Positive,Positive,Negative,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
BMW,i5 Touring,CarWow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Overall
BMW,iX,Carwow && Whatcar,Negative,Positive,Positive,Negative,Negative,Neutral,Negative,Negative,Neutral,Not mentioned,Negative,Negative,Low,Negative
BMW,iX1,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,very high,Positive
BMW,iX2,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
BMW,i3,CarWow && Whatcar,Negative,Not mentioned,Negative,Positive,Neutral,Negative,Negative,Not mentioned,Not mentioned,Negative,Negative,Negative,high,Negative
BMW,X1,Carwow && Whatcar,Positive,Negative,Negative,Negative,Negative,Neutral,Positive,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
BMW,X2,Carwow && Whatcar,Positive,Negative,Neutral,Comfort,Performance,Handling,Practicality,Reliability,Safety,Quality of construction,Noise,Engine,Price,Overall
BMW,X3,Carwow && Whatcar,Positive,Not mentioned,Neutral,Positive,Negative,Positive,Positive,Medium,Negative,Positive,Positive,Positive,low,Positive
BMW,X4,Carwow && Whatcar,Positive,Positive,Negative,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,Not mentioned,Positive,Negative,Very high,Positive
BMW,X5,CarWow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,high,Positive
BMW,X6,CarWow && WhatCar,Negative,Positive,Neutral,Negative,Positive,Neutral,Neutral,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Negative
BMW,X7,Carwow && Whatcar,Negative,Positive,Neutral,Positive,Negative,Negative,Negative,Not mentioned,Not mentioned,Negative,Negative,Negative,high,Negative
byd,atto-3,Carwow && Whatcar,Negative,Positive,Negative,Neutral,Neutral,Not mentioned,Not mentioned,Positive,Positive,Negative,Negative,Not mentioned,medium,Negative
BYD,Dolphin,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,low,Positive
BYD,Seal,Carwow && Whatcar,Positive,Positive,Positive,Negative,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,medium,Positive
byd,seal-u,Carwow && Whatcar,Negative,Negative,Negative,Negative,Positive,Negative,Neutral,Negative,Not mentioned,Positive,Positive,Positive,high,Negative
byd,sealion-7,carwow && whatcar,Negative,Positive,Negative,Negative,Positive,Neutral,Not mentioned,Not mentioned,Not mentioned,Negative,Positive,Negative,medium,Negative
Fiat,500,Carwow && Whatcar,Positive,Positive,Negative,Negative,Positive,Neutral,Not mentioned,Not mentioned,Not mentioned,Negative,Negative,Negative,high,Positive
Fiat,500-electric,Carwow && Whatcar,Positive,Negative,Neutral,Positive,Positive,Positive,Neutral,Not mentioned,Not mentioned,Positive,Positive,Positive,low,Positive
Fiat,500c,Carwow && Whatcar,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Negative,very high,Negative
Fiat,500l,Carwow && Whatcar,Negative,Negative,Positive,Negative,Negative,Negative,Neutral,Negative,Not mentioned,Negative,Not mentioned,Not mentioned,low,Negative
