url,title,price,rating,review
https://www.carwow.co.uk/mg/mg3,MG3 REVIEW & PRICES,"£16,995",9/10,"The MG3 used to be a bit of a joke - the old one was the lowest-ranked car on Carwow - but the new model aims to change all that. Now, instead of being antiquated, it’s right up there with the best small cars for performance, efficiency and equipment. Like an air fryer from the middle of Lidl, the MG3’s feature set is as good as any of its alternatives and it’s not immediately clear where the money’s been saved to bring it in at such a low price. Now that it’s a full self-charging hybrid car , the MG3 no longer targets the very cheapest on the market like the Dacia Sandero or Citroen C3 Origin . Instead, it’s more like a cut-price alternative to the Renault Clio E-Tech or Toyota Yaris - a halfway house for people who want the most efficient small car possible, but either don’t want or can’t have a fully electric model. The MG3 won’t win awards for its practicality - it’s not cramped, but it’s no better than average in this regard with a boot that’s about halfway between the Yaris and the Clio in capacity. Rear seat space is moderate, too, though annoyingly the rear seats don’t split when they fold which does limit overall versatility. The front of the cabin looks great, and very modern - in stark contrast to the car it replaces. Poke around and you can find a few places where MG’s saved money - there’s a sliding cover for one of the storage compartments that feels comically flimsy, and the top of the dash and the door cards are made of hard plastic - but the Clio and the Yaris have areas that feel equally cheap. More importantly, MG’s given the 3 its best touchscreen infotainment system yet, and it’s loaded with equipment - climate control, a digital dashboard, sat-nav and a full suite of assisted driving features are standard on every model. The MG’s hybrid system is brand-new, and puts out an impressive 191hp - versus 140hp for the Clio and up to 130hp for the Yaris. That means it’s easily got any of them beat in a drag race, and makes mincemeat of overtakes or motorway sliproads. It’s not quite as efficient as the alternatives, but you might decide that the additional performance makes the small drop in mpg worthwhile. The real surprise is what happens when you reach a twisty road. The old MG3 was always shockingly good fun in the corners, but unexpectedly MG has managed to repeat the trick. The new MG3 handles brilliantly for a small car, and that makes it one of the most enjoyable small cars to drive. Sound interesting? Check here for our best MG3 deals , or look for a used MG3 on Carwow here. You could also check out other used MGs here, and remember that Carwow can even help you sell your car online too."
https://www.carwow.co.uk/mg/hs,MG HS Review & Prices,"£25,995",8/10,"The MG HS has at points been the best-selling car in the UK and it’s easy to see why. It’s a big, practical family SUV with a posh-looking interior, loads of standard equipment and a headline-grabbing plug-in hybrid engine option - but it costs about as much as most small hatchbacks . While the old HS was definitely in the ‘cheap but not very cheerful’ category, the new model actually feels like something you wouldn’t mind driving around - it has redeeming features other than its price tag. It’s a bit like a Harvester - nobody’s ever going to look at it as a high-end option, but if you’re looking to feed the whole family on a budget, it’s tasty enough that you don’t feel punished for your penny-pinching. The HS is a similar size to family SUVs such as the Ford Kuga , Kia Sportage and Nissan Qashqai - but with its low price tag, you might consider it on the same shortlist as much smaller SUVs such as the Volkswagen T-Cross or Ford Puma . Two more direct alternatives are the Citroen C5 Aircross or BYD Seal U - both big SUVs that put affordability first, and have plug-in hybrid engines available. If your main concern is space for the money, the MG HS is a great option. Despite a price tag close to something like a Volkswagen Polo hatchback, it has space in the back for a six-foot adult to stretch out, plus a 507-litre boot that’ll accommodate the whole family’s kit and clobber. You also get a dashboard that looks pretty posh, with a dual-screen setup just like you get on a BMW X3 . You don’t have to press very far to find out where MG’s saved money, though, and materials and build quality aren’t really up to the standards of more expensive cars. It’s also not the easiest to use, with very few physical switches, an awkward touchscreen interface and not much storage for smaller items. As far as engines go, there’s a choice of two. You can have a bog-standard petrol, available with manual or automatic gearboxes - these are the more affordable options, and though they’re not particularly offensive to drive they are a bit thirsty. The headline-grabber is the HS plug-in hybrid, which can do up to 75 miles on a charge. That figure is up there with the best PHEVs on sale, and it gives you tons of flexibility - it’s enough to do even the longest of commutes without troubling the petrol engine once. It also nudges the HS into the lowest-but-one band for Benefit-in-Kind tax, making it hundreds of pounds a month cheaper than the equivalent Kia Sportage or Ford Kuga for company car drivers. Both of those cars are better to drive, mind you - they steer more sweetly and handle bumps better, as well as being more responsive and reassuring in the corners. The gap is narrower if you’re just cruising round town or on the motorway, though, where the HS is impressively refined and difficult to dislike. If the new MG HS seems like the SUV for you, check out our best MG HS deals on Carwow. You can see our other MG deals here, or search for a used MG for sale here. And remember, Carwow can even help you sell your old car ."
https://www.carwow.co.uk/mg/cyberster,MG Cyberster Review & Prices,"£54,995",7/10,"The MG Cyberster is, arguably, the first drop-top electric sports car . It joins a vanishingly small cohort of electric convertibles that includes the short-lived Mini Electric Convertible , colossally expensive Maserati GranCabrio Folgore and the hardly-a-convertible Fiat 500e Cabrio plus its Abarth sibling. The Cyberster represents the meeting of MG’s past and future. The brand’s history is in building convertible sports cars, but the last few years have been all about electrification. It’s like a Silver Cross buggy - inspired by the baby carriages of the past but definitely a product of the present with all the modern features buyers expect. MG’s also been sure to include a few features that nobody was expecting - hardcore MG fans or otherwise. The Cyberster looks like nothing else on the road, with insectoid headlights, squat proportions that make it look quite a lot smaller than it is and a wild rear featuring arrow-shaped taillights and a full-width lightbar. The wow factor increases with the doors, which are electrically-operated scissor doors that open up and away rather than outwards. It’s fair to say that if you arrive somewhere in a Cyberster, you’re guaranteed to make an entrance whether you want to or not - in fact, get used to being stopped in car parks, or having people’s heads turn in traffic. The flip side is that you can’t really arrive anywhere discreetly - and those party piece doors can be frustratingly slow to operate. The interior isn’t short of issues either, most of which come from its eye-catching quadruple-screen layout. That’s right - four screens, with three pivoted towards the driver and a fourth in the centre console for climate controls. Range: 276 miles / 316 miles Efficiency: 3.3-3.7mi/kWh Battery size: 77kWh Max charge speed: 144kW Charge time AC: 10hrs 30mins, 10-100%, 7kW Charge time DC: 38mins, 10-80%, 144kW Charge port location: Left side rear Power outputs: 340hp / 510hp If it sounds confusing, that’s because it is - the outer screens are constantly blocked by the steering wheel, and it’s never particularly clear which functions you control via which screen. At least the driver’s display is clear and concise. The rest of the interior is largely successful. It’s roomy enough, and storage consists of a glovebox, a big shelf behind the seats useful for bags or coats, tiny door bins and a couple of cubbies in the centre console. Material quality is excellent, and build quality isn’t too bad either - not up to the standards of a Porsche , but then the Cyberster makes even the petrol-engined Porsche Boxster look like a bargain. One potential issue rears its ugly head for tall drivers, though, as the seats are set very high. You never really feel as if you’re sat ‘in’ the Cyberster - more like you’re perched on top of it - and if you’re over six feet tall or have a long torso you may find your head brushing the roof. The roof, incidentally, is an electrically-operated fabric affair. It goes down swiftly and can be operated at speeds up to 28mph, which is really useful if you’re hit by a sudden rainstorm, and when it’s up it does a good job of keeping the heat in and the noise out. Not that there’s much noise to be heard. It’s quite disconcerting being in a convertible car that makes nothing more than a soft whirr on acceleration. Like most electric cars, the Cyberster is swift - even the basic rear-wheel drive model will give hot hatchbacks a run for their money, while the fastest dual-motor version has supercar pace. Despite this, it doesn’t feel sporty to drive. The Cyberster is comfortable, quiet and reasonably relaxing, but if you push it into a set of corners you soon feel that it’s a very heavy car with relatively uncommunicative steering. Despite appearances, it’s more of a boulevard cruiser than an out-and-out sports car. You’ll even be able to cruise for a decent distance, with an official range figure of more than 300 miles in the entry-level car. As a package, there’s a lot to love about the MG Cyberster. It’s not a pedigree performance car, but if you’re looking for a drop-top cruiser it does a fantastic job of being comfortable, offering punchy performance when you need it, and feeling largely high quality inside. Find out how much you can save with Carwow’s MG Cyberster deals , or get a great price on other MG models . You can also browse the latest used MGs from out network of trusted dealers, and when the time comes, you can sell your car online on Carwow, too."
https://www.carwow.co.uk/mg/zs/2018,MG ZS Review & Prices,"£18,605",5/10,"If you’re looking for a small family SUV that’s practical, affordable and reasonably well-equipped, the MG ZS is well worth considering. Okay, it might not feel quite as upmarket as the likes of the Mazda CX-3 but it’s significantly cheaper to buy and much roomier inside. The standard fabric seats come with enough adjustment to get comfortable and the buttons you’ll regularly use are easy to reach and laid out in a logical, uncluttered fashion. Both the Excite and Exclusive trims come with a 10.1-inch colour touchscreen as standard for the infotainment system. You get Apple CarPlay and Android Auto, and the Exclusive also has integrated sat nav. The MG’s system is easy to use and responds quickly to your finger on the screen, but some of the menus can be tricky to go back a page, so it’s not quite as intuitive to use as that in a Ford Puma . The back seats don’t get so many nice touches. Although you’ll find there’s much more headroom and legroom than in a Renault Captur , Mazda CX-3 or Nissan Juke , there are no cupholders or centre rear armrest. The 448-litre boot’s roomy too – it’s more than 90 litres larger than the Mazda (350 litres), and 26 litres more than both the Renault or Nissan (422 litres). It's more than big enough to carry a large baby buggy and some big soft bags at once. Flip the back seats down and there’s just enough space to carry a bike with its wheels attached. You can get the ZS with two petrol engines. Pick the 1.0-litre turbo petrol if you spend lots of time driving around town or the 1.5-litre petrol model if you do lots of motorway miles. Both are relatively quiet – if not particularly quick – and will return around 35mpg in normal conditions compared to MG’s claimed 44.9mpg and 49.6mpg respectively. There's also the MG ZS EV - one of the most affordable electric SUVs on sale - that we've reviewed separately. Here we're focused purely on the petrol model. Whichever engine you pick, the ZS is easy to drive thanks to its adjustable steering that provides extra assistance at slow speeds. Unfortunately, the view out the back isn’t great, which can make squeezing into tight parking spaces a bit tricky – but at least rear parking sensors as standard. You even get cruise control on all models to help make long drives a bit more relaxing. Unfortunately, the ZS is quite noisy at motorway speeds and you’ll hear quite a bit more wind and tyre noise than in the likes of the Mazda, and it isn’t as comfortable over bumpy roads as the Citroen C3 Aircross. Unlike these alternatives, the MG doesn’t come with the option of automatic emergency braking to help stop the car quickly if it senses an obstacle ahead. As a result, it has only managed a three-start score from Euro NCAP . If this isn’t a dealbreaker for you, the MG ZS makes a strong case for itself as an affordable, yet spacious, small family car. Avoid the rather spartan entry-level models and it’s an SUV that’s well worth considering. Should the MG ZS be the car for you, make sure you check out our latest MG ZS deals and browse our used MG ZS models. You can also look through other used MGs to find out how much you could save when buying through carwow. You can also sell your car through carwow, where our dealers will bid on your car to get you the best price."
https://www.carwow.co.uk/mg/mg-4,MG4 EV REVIEW & PRICES,"£26,995",8/10,"MG pulled an absolute blinder with the MG4, and much like the lovable underdog in a boxing movie it punches well above its weight division. It’s more affordable than alternatives such as the Renault Megane E-Tech and Cupra Born , costing around the same as the smaller Vauxhall Corsa Electric and Fiat 500e . You’d be forgiven for thinking that MG have taken a ‘cheap and cheerful’ approach to engineering the MG4, but that’s far from the truth. So far from it, in fact, that the MG4 received high commendations in the 2024 Carwow Car of the Year Awards’ Outstanding EV and Urban Living categories. Just look at it, a mix of pointy details, sharp creases and funky shapes such as the lower body cladding and split roof spoiler. It’s a refreshing looking thing; it still stands out against newer MGs such as the MG S5 and MG HS as much as it does its alternatives. Range: 218-331 miles Efficiency: 3.6-3.8 miles per kWh Battery size: 51kWh / 62kWh / 74kWh Max charge speed: 150kW Charge time AC: 6hrs 12mins, 10-100%, 7kW / 7hrs 30mins, 10-100%, 7kW / 9hrs, 10-100%, 7kW Charge time DC: 39mins, 10-80%, 150kW / 35mins, 10-80%, 150kW Charge port location: Left rear Power outputs: 170hp / 204hp / 245hp It’s a shame the interior isn’t quite as novel, with a dashboard layout that’s so simple it verges on boring, but the material quality, fit and finish and standard kit is better than you might expect for the price. A 10.25-inch infotainment display comes as standard on all trim levels of the MG4, and though it comes with Apple CarPlay and Android Auto connectivity, MG’s own software is rather basic. It’s frustrating to operate too, especially on the move, with too many menus to navigate. There’s plenty of room in the MG4 though; plenty of adjustability for you to get comfy behind the wheel and enough head and leg room for tall passengers in the rear - though it’s a bit of a squeeze when you’ve got three in the back. The 363-litre boot capacity trails the Volkswagen ID3 for space, and puts it well behind the Megane E-Tech. The MG4 comes with two battery options, offering 218 claimed miles of range in its most basic trim through to 323 miles for the Trophy Extended Range model. The top-rung MG4 XPower , which we’ve reviewed separately, offers a big power hike over the rest of the trim levels, but makes do with a 239-mile range. Around town the MG4 is easy to potter about in thanks to its light steering, peppy electric motors and most importantly, its comfortable suspension. It takes potholes, speed bumps and cracked roads in its stride, and the same applies to motorways where the MG4 just soaks up the miles with ease. Yet even with its soft suspension the MG4 is rather fun to drive on a twisty road, feeling agile and grippy with little in the way of body lean. The X-Power is particularly rapid, but it’s different enough that we've reviewed it separately here. For a stonking value for money proposition, have a look at our new MG4 deals as well as our MG4 lease deals . You can also check out used MG4s from our network of trusted dealers as well as other used MGs . When it’s time for a change, you can even sell your current car through Carwow."
https://www.carwow.co.uk/mg/4-xpower,MG4 EV XPOWER REVIEW & PRICES,"£36,495",7/10,"This is the MG4 XPower, and it’s a bit like a supermarket's own-brand vindaloo – packing plenty of heat at a value price. It’s a car you’d consider if you’ve been waiting for the dawn of the electric hot hatch , but the higher-power variants of the Cupra Born or Volkswagen ID3 just don’t offer enough punch for you. Not that the looks of the XPower would suggest it’s the exciting version – not a great deal of change has been made over the base MG4. Orange brake callipers and new 18-inch wheels give the game away if you know what you’re looking for, as do a few polished trim pieces, but the bodywork is otherwise untouched. The stealthy vibe may appeal, but there’s a case to be made that MG could and should have done more to shout about the car’s performance. Similarly, there’s very little difference inside compared with the standard MG4 . Aside from some Alcantara seat and door inserts, as well as a touch of red stitching, there’s nothing to scream XPower here. Material quality continues to impress for the price, but a dull selection of colours and a basic design does nothing to add to the excitement the car’s power promises. Also retained for the XPower is the 10.25-inch infotainment system, packed with sat nav along with support for Android Auto and Apple CarPlay . A few welcome quality-of-life improvements have been made to the software, as well as a basic ‘Track Mode’ app that gives you real-time access to G-force and acceleration data. As with the base MG4, rear passenger space is impressive, with a decent amount of head and legroom even for taller adults. Boot space is also untouched at 363 litres, which is marginally behind the Volkswagen ID3’s 385 litres. The big changes for the MG4 XPower lie under the skin. As well as more power for the rear motor, a second motor has been added to the front axle too, combining to produce 435hp and 600Nm of torque. The result is 0-60mph in a mind-boggling 3.8 seconds (for context, that’s quicker than a Porsche 911 Carrera 4) and an increased top speed of 124mph. It’s not just the off-the-line performance that’s so impressive either, with a real gut-punching kick from 30-70mph too. To help cope with that extra power, MG has made some mechanical tweaks as well. An electronic locking differential has been added alongside a torque vectoring system, which combine to manage how power is distributed to the wheels through corners. The suspension is the same as the base MG4, though with new tuning for the springs and dampers. Though the result is a car that’s certainly capable when you throw it through the bends, it’s not particularly involving. Dull steering makes it difficult to feel how much grip the front wheels have, and even the mechanical upgrades can’t hide the fact this is quite a heavy car. You may outrun a Honda Civic Type R or Hyundai i30 N , but you won’t have as much fun in the twisty stuff. On top of that, because of the suspension tweaks, the MG4 XPower crashes over bumps in the road more so than the regular car, though otherwise remains pretty comfortable around town. At motorway speeds though, you do really notice the wind noise as well as a slight whine from the new front motor. Official range figures from the 64kWh battery dip from 270 miles in the Long Range car to 239 miles for this sporty XPower model. A mixed driving route with the car for this test returned 2.9 miles/kWh, equating to around 185 miles of real-world range. For stomach-churning, sports-car troubling performance at a value price, the MG4 XPower delivers big. That said, traditional hot hatch buyers may struggle to be won over by quite a muted driving experience beyond the numbers. Looking to make this electric hot hatch your next car? Check out the latest MG4 XPower deals available through Carwow, or browse used MG4 models from our network of trusted dealers. If you’re selling your car online , you can do that through Carwow too, along with browsing a wide range of used MGs available now."
https://www.carwow.co.uk/mg/5,MG5 EV REVIEW & PRICES,"£31,005",6/10,"This is the MG5 EV, and it’s one of very few electric estate cars currently available in the UK – the others being the Porsche Taycan Sport Turismo , Vauxhall Astra Sports Tourer Electric and Peugeot e-308 SW . It’s a bit like doing your shopping at Lidl or Aldi. On the face of things, you may dismiss the MG5 as simply being a value option - but if you’re clued up, you’ll know there’s much more to it than that. The MG5 was given a design overhaul in 2022 and it was much-needed, though it also came with a small bump in price. The dowdy car of old has been replaced with a stylish new look, sporting sharp lines in the bumpers and wide, narrow headlights. It’s not quite as striking as the Carwow 2023 Car of the Year, the MG4 hatch, though. On the inside, the MG5 isn’t quite as smart either, but it’s a definite improvement over the pre-revision car. Build quality is really good and there’s a respectable amount of plush-feeling materials. Fabric seats come as standard, though range-topping models get a leatherette set. Sitting at the heart of the dashboard is an updated 10.25-inch infotainment system. It’s certainly a leap from the older, sluggish screen and, if you’d rather mirror your smartphone, it comes with Android Auto and Apple CarPlay as standard. It does retain a part-digital, part-analogue driver’s display, though this feels pretty clunky and would work better as a fully digital unit. There’s lots of knee and headroom in the back seats of the MG5, however a raised footwell does leave your rear passengers angled rather awkwardly. As for boot space, you’ve got 580 litres to work with in the MG5. That’s only slightly down on the Toyota Corolla Touring Sports’ 598 litres, so it’s a useful space that will easily carry large suitcases. Choosing the motor and battery is easy, because, well, there is no choice. Whichever MG5 trim you choose you get a battery with a usable capacity of 57kWh and a 156hp motor. That said, driving range is 250 miles in the entry-level SE version or 235 miles in the higher-spec Trophy model, thanks largely to the bigger alloy wheels. The MG5 is comfortable in town and on the motorway, and you get the MG Pilot safety system as standard, which includes assistance kit such as adaptive cruise control and lane-keep assist. If you like the sound of the MG5 EV you can check out the latest new deals now or browse used stock from dealers near you. You can also take a look at other used MG models . Want to sell your car online ? Well, Carwow can help with that too."
https://www.carwow.co.uk/mg/gs,MG GS Review and Prices,"£15,430",5/10,"The MG GS is a medium-sized family SUV that’s a little larger than the likes of the Nissan Qashqai and Renault Kadjar, yet costs a little less. Unfortunately, some of the MG’s penny-pinching is all too obvious, such as the brittle interior plastics and second-rate infotainment system. From the outside, the MG GS looks more like a jacked-up hatchback than most family SUVs. It sports all the black plastic bumper trims you’d expect of a chunky pseudo-off-roader, but the MG GS’ curvy bumpers, slim brake lights and raked roofline look sportier than the comparatively boxy Kia Sportage and Hyundai Tucson. Unfortunately, the MG GS’ interesting exterior only serves to show how dull and drab its interior is. It’s neatly laid out and all the buttons are grouped together so they’re easy to reach, but almost every surface comes with a hard plastic finish and the optional brushed-metal effect trims don’t feel anywhere near as robust as they look. You can have contrasting inserts fitted to the dashboard and doors, but these do little to spruce up the GS’ interior. Equally middling is the touchscreen infotainment system. It’s easy to read but nowhere near as intuitive as the systems you get in most alternatives. What it loses out in technology, the GS claws back (albeit only slightly) in terms of practicality. There’s just as much room in the front seats as you get in the likes of the Nissan Qashqai and there’s more space for carrying three adults at once in the back. The MG GS might appeal if you’re looking for something practical and likely to stand out, but it isn’t particularly good to drive and doesn’t feel as well built as most other family SUVs. It’s a similar story when you need to load the MG GS’ boot. It’s bigger than the Nissan’s and there’s no load lip which makes it easy to slide in heavy boxes. You can fold the back seats down if you need to carry seriously bulky stuff, such as a bike. It’s a shame you can’t get the MG GS with a diesel engine to help you carry very heavy luggage or tow a trailer, though. Instead, it comes with a 1.5-litre 166hp petrol unit. At least it feels fairly spritely and trundles along at motorway speeds relatively quietly – if not particularly economically. Head off the motorway and you’ll find the MG GS doesn’t feel particularly relaxing to drive. Its suspension is firmer than in the likes of the Nissan Qashqai so you’ll feel more of a thud each time you hit a pothole around town. At least you get a decent view out and the optional automatic gearbox you can get in top-spec models means you don’t have to make endless gear changes in heavy traffic. Unlike most SUVs, you can’t get the GS with automatic emergency braking, lane-keeping assistance or driver tiredness detection. As a result, you’ll be better off looking elsewhere if safety is your number one priority. But, if you’re after a sporty-looking yet practical SUV on a shoestring budget, it could be worth a look. Check out our MG GS deals to see how much you can save on one."
https://www.carwow.co.uk/mg/s5-ev,MG S5 EV Review & Prices,"£28,495",8/10,"The MG S5 is the sequel to the MG ZS EV - it’s a compact, all-electric SUV , and like the rest of MG’s range majors on value-for-money - putting it right in the firing line of really excellent electric cars such as the Volvo EX30 , Kia EV3 and Skoda Elroq . It’s also the first MG we’ve reviewed that doesn’t really have any caveats - no ‘it’s great for this, but…’ modifiers need to be added. While that does mean it’s not quite as standout as MG’s other cars, like the cheap-as-chips MG 4 or the BIK champion MG HS , it also means that it’s easier to recommend for more people. It’s like a chef who starts their career out with wild and divisive combinations like salmon teacakes with a candyfloss mousse, but matures into making a really solid sea bass with risotto. Like some of the most reliable dishes, the new S5 EV doesn’t exactly shout about its prowess. The styling is the first thing to get past - or the lack of styling, you could say. The S5 EV looks as though MG’s design team started with a normal SUV and then Photoshopped out any of its distinguishing features. While this definitely means it blends into the crowd, you’ll have to be a really magnolia kind of person to be excited by its featureless front end or lower grille ‘inspired’ by the Cyberster sports car. Range: 211 - 298 miles Efficiency: 4.3 - 4.7 mi/kWh Battery size: 49kWh/64kWh Max charge speed: 120kW/139kW Charge time AC: 7hrs / 9hrs 15m @ 7kW Charge time DC: 24min / 28min 10-80% Charge port location: Left rear Power outputs: 170hp / 228hp Things start to look up when you get inside, though. The S5 EV has MG’s best interior to date. Just about everything you touch is covered in soft-touch material, and you really have to look quite hard to find any cheap, nasty plastics - that’s not something you could say about the MG 4, which shares its underpinnings with the S5 EV. Better yet, MG’s listened to feedback from reviewers and journalists, and implemented a few features to make life just that little bit easier. There are physical climate controls underneath the screen so you don’t have to go rootling round in touchscreen menus just to change the temperature, and there’s an easy shortcut to switch off the more annoying driver assistance features too. The S5 EV is great for families as well, as it has bags of rear legroom and a 453-litre boot - nearly matching the roomy Kia EV3. There are two models available - a Standard Range car that can do up to 211 miles on a charge and a Long Range variant which claims up to 298 miles of range. It’s a shame MG has no plans to introduce an Extended Range model, as that could really take the fight to the Kia EV3 which has up to 375 miles of range. So behind the dull looks, the MG S5 EV is really quite a good electric car indeed. If you’re interested, you could check out our best MG S5 EV deals here, or find a great MG S5 leasing offer. You can browse used MGs for sale here, and remember that Carwow can even help you to sell your old car when the time comes."
https://www.carwow.co.uk/mg/zs,MG ZS Review & Prices,"£19,995",7/10,"The previous-generation MG ZS was a small SUV that you’d buy because it was cheap - and then spend the rest of your time apologising for it. It was unattractive, thirsty, poor to drive and had a really cheap-feeling interior. However, the second-generation model has had a true Cinderella-style glow-up, and should push the old car right to the back of everybody’s minds - it’s a huge improvement in every way. Based on the same mechanical underpinnings as the excellent MG3 hatchback, the new ZS gets an up-to-date hybrid engine, techy interior and a smart - if not stunning - new look. It’s like trading in your old Nokia for a new smartphone. Probably not the latest Apple iPhone, as MG is still firmly a budget brand - more like one of those off-brand Android phones that gives you lots and lots of bang for your buck. As a small hybrid SUV , there are alternatives to the MG ZS coming from every corner. Some of the best include the Renault Captur , the Hyundai Kona Hybrid , the Peugeot 2008 or the Carwow award-winning Toyota Yaris Cross . MG does things a bit differently to those cars, though. First of all, there’s the way the hybrid system works. It’s far more powerful than any of those alternatives - with 191hp beating out 140hp in the Captur or a measly 115hp in the Yaris Cross. MG’s done this by fitting a more powerful electric motor and a bigger battery, which means that most of the time it drives like an electric car with a petrol generator. However, if you put your foot down both power sources will give their all, making this quite a rapid little SUV. The comparison is also pretty favourable when it comes to interior space. The ZS has enough room for a six-foot adult to sit behind a driver of the same size in comfort, which means it’s also great for child seats or lanky teenagers. The 443-litre boot is also bigger than the hybrid Renault Captur or the Toyota Yaris Cross, and only marginally smaller than the Hyundai Kona hybrid. It’s in the cabin where you notice evidence of MG’s cost-cutting, though - there are plenty of low-rent material choices, and infotainment software that despite being a huge improvement on the old ZS isn’t as easy to use or as intuitive as the best systems out there. You do get loads of equipment, though. The top-spec Trophy model is still inexpensive but comes with climate control, sat-nav, smartphone connectivity, leather upholstery and a full suite of driver assistance tech including the semi-autonomous MG Pilot system. To drive, it’s another huge leap from the old car, which was pretty dire on the road. The ZS isn’t as satisfying to drive as a Renault Captur or Toyota Yaris Cross, despite its superior power output - but it has light controls and good visibility, making it great around town. Only poor refinement on the motorway and quite crashy suspension let the side down. If lots of power and equipment for a low price capture your imagination, check out our best MG ZS deals right here. You can find a used MG ZS for sale here, or search other used MGs for sale . And remember that Carwow can even help you sell your old car when the time comes."
